TextName:Lat,Long,Location,Dialect,Genre,YoC,YoM,AuthName,AuthBD,AuthSex,AuthAge,RecName,RecBD,RecSex,RecAge,RecRelation,Words,OCWords,NamWords,ForWords,Types,OCTypes,NamTypes,ForTypes,Chars,OCChars,NamChars,ForChars,Tokens
GIBBON-1789:NA,NA,NA,NA,HISTORY,1789,1796,Edward_Gibbon,1737,m,52,NA,NA,NA,NA,NA,7783,2403,321,12,2298,1419,192,12,36519,16254,2113,78,374
GIBSON-1729:NA,NA,NA,NA,HISTORY,1729,1729,?_Gibson,NA,NA,NA,NA,NA,NA,NA,NA,8750,2502,338,5,1765,1077,155,2,40433,16311,2181,19,217
GISBORNE-1802:NA,NA,NA,NA,SERMON,1802,1802,Thomas_Gisborne,1758,m,44,NA,NA,NA,NA,NA,9281,2645,378,0,1913,1269,42,0,41735,17694,1797,0,429
GOLDSMITH-1766:NA,NA,NA,NA,FICTION,1766,1766,Oliver_Goldsmith,1728,m,38,NA,NA,NA,NA,NA,9463,3023,89,0,2009,1372,25,0,39709,18057,518,0,587
GORDON-1781:NA,NA,NA,NA,PROCEEDINGS_TRIAL,1781,1781,n/a,NA,NA,NA,NA,NA,NA,NA,NA,33390,9866,1494,2,2787,1812,250,2,139364,56374,9626,11,2284
GREEN-1874:NA,NA,NA,NA,HISTORY,1874,1874,John Richard_Green,1837,m,37,NA,NA,NA,NA,NA,8789,2720,633,0,2024,1291,191,0,39954,16618,4455,0,479
GREVILLE-1827:NA,NA,NA,NA,DIARY,1827,1827,Charles_Greville,1794,m,33,NA,NA,NA,NA,NA,9991,2834,573,5,1908,1148,177,5,44162,17569,3783,26,616
GREVILLE-1855:NA,NA,NA,NA,DIARY,1855,1855,Charles_Greville,1794,m,61,NA,NA,NA,NA,NA,10004,2769,497,75,2073,1219,184,49,43860,17326,3218,339,533
GREY-1914:NA,NA,NA,NA,LET NON-PRIV,1914,1914,Edward_Grey,1862,m,52,NA,NA,NA,NA,NA,11263,3208,714,25,1523,938,69,8,52805,21424,4373,99,585
HARDY-1794:NA,NA,NA,NA,PROCEEDINGS_TRIAL,1794,1794,n/a,NA,m,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
HARDY2-1874:NA,NA,NA,NA,FICTION,1874,1874,Thomas_Hardy,1840,m,34,NA,NA,NA,NA,NA,9506,2830,259,3,1903,1194,59,3,38171,15221,1720,23,828
HARE-183X:NA,NA,NA,NA,SERMON,1835,1835,Augustus William_Hare,1792,m,NA,NA,NA,NA,NA,NA,9205,2573,259,0,1574,1015,38,0,36255,13970,1161,0,505
HARRIS-177X:NA,NA,NA,NA,LET NON-PRIV,1774,1774,James_Harris,1746,m,28,NA,NA,NA,NA,NA,11231,3226,429,243,2532,1515,163,157,51121,21089,2627,1161,503
HARRIS-1797:NA,NA,NA,NA,LET NON-PRIV,1797,1797,James_Harris,1746,m,51,NA,NA,NA,NA,NA,11783,3191,159,148,1742,1006,60,97,51614,21435,1007,755,287
HAYDON-1842:NA,NA,NA,NA,DIARY,1842,1842,Benjamin_Haydon,1786,m,56,NA,NA,NA,NA,NA,10486,3514,587,28,2385,1510,238,23,46192,19755,3700,132,1103
HAYMAN-1786:NA,NA,NA,NA,PROCEEDINGS_TRIAL,1786,1786,n/a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
HEBER-1815:NA,NA,NA,NA,SERMON,1815,1815,Reginald_Heber,1783,m,32,NA,NA,NA,NA,NA,8683,2290,301,14,1985,1192,107,12,40628,15863,1881,84,232
HOBSON-173X:NA,NA,NA,NA,DIARY,1732,1732,John_Hobson,,m,NA,NA,NA,NA,NA,NA,10031,2582,1921,18,2231,1105,738,11,42251,13767,11615,78,955
HODGKIN-1880:NA,NA,NA,NA,HISTORY,1880,1880,Thomas_Hodgkin,1831,m,49,NA,NA,NA,NA,NA,8707,2660,167,59,2298,1443,98,36,40371,17356,1110,431,307
HOLCROFT-1794:NA,NA,NA,NA,FICTION,1794,1794,Thomas_Holcroft,1745,m,49,NA,NA,NA,NA,NA,9458,2714,159,28,2096,1346,44,27,40495,16922,947,154,606
HUME-1757:NA,NA,NA,NA,HISTORY,1757,1757,David_Hume,1711,m,46,NA,NA,NA,NA,NA,8833,2729,373,0,2092,1304,153,0,42959,18323,2795,0,390
HUME-1776:NA,NA,NA,NA,BIOGR AUTO,1777,1777,David_Hume,1711,m,66,NA,NA,NA,NA,NA,3018,928,108,5,943,560,64,5,13546,6053,639,22,145
HUNT-1844:NA,NA,NA,NA,SCIENCE_MEDICINE,1844,1844,Henry_Hunt,,m,NA,NA,NA,NA,NA,NA,7689,2352,62,40,1588,916,31,20,36048,15548,264,275,329
HUXLEY-1858:NA,NA,NA,NA,SCIENCE_OTHER,1858,1858,Thomas Henry_Huxley,1825,m,33,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
HUXLEY-186X:NA,NA,NA,NA,EDUC TREAT,1866,1866,Thomas Henry_Huxley,1825,m,41,NA,NA,NA,NA,NA,9047,2664,100,8,2060,1302,69,8,40147,17082,658,46,343
HUXLEY-1889:NA,NA,NA,NA,BIOGR AUTO,1889,1889,Thomas Henry_Huxley,1825,m,64,NA,NA,NA,NA,NA,4166,1214,105,17,1324,807,72,15,18155,7851,614,85,186
INCHBALD-1793:NA,NA,NA,NA,DRAMA COMEDY,1793,1793,Maria_Inchbald,1753,f,40,NA,NA,NA,NA,NA,9760,2654,957,1,1500,984,40,1,37216,14430,3576,3,883
INNES-1902:NA,NA,NA,NA,HISTORY,1902,1902,Arthur Donald_Innes,1863,m,39,NA,NA,NA,NA,NA,8750,2599,851,12,2101,1301,207,8,42242,16923,5394,52,507
JOHNSON-1759:NA,NA,NA,NA,FICTION,1759,1759,Samuel_Johnson,1709,m,50,NA,NA,NA,NA,NA,9390,3172,60,0,2246,1570,11,0,43131,20386,380,0,591
JOHNSON-176X:NA,NA,NA,NA,LET PRIV,1765,1765,Samuel_Johnson,1709,m,NA,NA,NA,NA,NA,NA,9645,2749,456,47,1843,1131,165,44,40695,16207,2701,234,695
JOHNSTONE-1786:NA,NA,NA,NA,DRAMA COMEDY,1786,1786,James_Johnstone,NA,m,NA,NA,NA,NA,NA,NA,9849,3059,537,85,1744,1119,70,66,39097,16333,3031,473,1148
JUSTICE-1739:NA,NA,NA,NA,TRAVELOGUE,1739,1739,Elizabeth_Justice,NA,f,NA,NA,NA,NA,NA,NA,10303,3086,169,20,2052,1363,83,18,42511,17453,1137,105,706
KEIMER-1718:NA,NA,NA,NA,BIOGR AUTO,1718,1718,Samuel_Keimer,1688,m,30,NA,NA,NA,NA,NA,15111,4060,587,38,2321,1397,172,10,63123,23787,3323,136,821
KINGLAKE-1844:NA,NA,NA,NA,TRAVELOGUE,1844,1844,Alexander William_Kinglake,1809,m,35,NA,NA,NA,NA,NA,10152,3072,304,15,2534,1591,126,11,45298,18981,1995,100,515
KINGSLEY-1897:NA,NA,NA,NA,TRAVELOGUE,1897,1897,Mary Henrietta_Kingsley,1862,f,35,NA,NA,NA,NA,NA,10198,3203,321,17,2314,1452,120,13,42858,17964,1890,60,650
KIRKLAND-1774:NA,NA,NA,NA,SCIENCE_MEDICINE,1774,1774,Thomas_Kirkland,1722,m,52,NA,NA,NA,NA,NA,7727,2477,13,13,1331,791,9,7,35876,15999,92,47,352
KNOX-1786:NA,NA,NA,NA,TRAVELOGUE,1786,1787,John_Knox,1720,m,66,NA,NA,NA,NA,NA,10216,3144,609,8,2268,1367,242,5,46655,19356,3995,31,471
KNYVETON-1752:NA,NA,NA,NA,DIARY,1751,1751,John_Knyveton,1729,m,22,NA,NA,NA,NA,NA,9734,3124,267,3,2216,1462,78,2,40556,17013,1514,20,492
LANCASTER2-1794:NA,NA,NA,NA,EDUC TREAT,1794,1794,Thomas_Lancaster,NA,m,NA,NA,NA,NA,NA,NA,7655,2336,90,18,1917,1176,65,18,36039,16192,565,108,282
